customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,50,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),33.34,7762.1,No
CUST-00002,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),33.3,4422.21,No
CUST-00003,Male,0,No,Yes,3,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,22.24,3755.54,Yes
CUST-00004,Male,0,No,Yes,6,Yes,Yes,No,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),24.98,7876.05,No
CUST-00005,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),46.37,4464.51,Yes
CUST-00006,Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),26.5,5295.72,Yes
CUST-00007,Male,1,No,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),56.89,2675.51,No
CUST-00008,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),103.28,3069.28,No
CUST-00009,Male,1,No,No,71,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),52.63,4763.39,No
CUST-00010,Female,0,Yes,No,18,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,92.78,576.89,Yes
CUST-00011,Male,0,No,No,62,Yes,No phone service,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.39,2061.95,No
CUST-00012,Male,0,No,Yes,37,Yes,No,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,85.94,1590.56,No
CUST-00013,Male,1,Yes,No,66,Yes,No,No,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),51.67,146.83,No
CUST-00014,Male,1,Yes,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,94.98,4304.47,No
CUST-00015,Female,0,No,Yes,68,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),33.63,4497.2,No
CUST-00016,Male,0,No,No,12,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),109.79,3083.83,Yes
